,user_id,items
417,20842,Berliners - Food Menu
418,20842,Baked Vada Pav - Food Menu
419,20842,Hyderabadi Chicken Keema Pav - Food Menu
420,20842,Berliners - Food Menu
421,20841,Yellow Banana Chips - Food Menu
422,20841,Madagascar Chocochip Frappe - Cold Coffee
423,20840,Berliner Mix - Food Menu
424,20840,Berliner Mix - Food Menu
425,20840,Berliner Mix - Food Menu
426,20840,Baked Vada Pav - Food Menu
427,20839,Caramel Frappe - Cold Coffee
428,20839,Vietnamese - Cold Coffee
429,20838,Papparoti - Sweet
430,20838,Calzones Veg - Food Menu
431,20838,Calzones Veg - Food Menu
432,20838,Mix Tartlet - Food Menu
433,20838,Mix Tartlet - Food Menu
434,20838,Mix Tartlet - Food Menu
435,20837,South Indian Filter Kaapi - Hot Coffee
436,20837,Kaapicino - Hot Coffee
437,20837,Vanilla Praline - Cold Coffee
438,20837,Origanal South Indian Frappe - Cold Coffee
439,20837,ALMOND MILK - Milk
440,20837,Papparoti - Sweet
441,20836,Bon Bon - Cold Coffee
442,20836,Hyderabadi Chicken Keema Pav - Food Menu
443,20835,Papparoti - Sweet
444,20834,Cafe Latte - Hot Coffee
445,20834,Hot Chocolate - Hot Chocolate
446,20833,Hazelnut Frappe - Cold Coffee
447,20833,Calzones Veg - Food Menu
448,20833,Baked Vada Pav - Food Menu
449,20832,Vietnamese - Cold Coffee
450,20832,Gluten Free Hazelnut Brownie - Sweet
451,C2292,Rosella Jam - SEASONAL MENU
452,C2292,Strawberry White Chocolate Ganache - SEASONAL MENU
453,20831,Papparoti - Sweet
454,20831,Hot Chocolate - Hot Chocolate
455,20831,Madagascar Chocochip Frappe - Cold Coffee
456,20831,Calzones Veg - Food Menu
457,20831,South Indian Filter Kaapi - Hot Coffee
458,20831,South Indian Filter Kaapi - Hot Coffee
459,20830,Spicy Banana Chips - Food Menu
460,20829,Bon Bon - Cold Coffee
461,20828,Vietnamese - Cold Coffee
462,20828,ALMOND MILK - Milk
463,20827,Classic Frappe - Cold Coffee
464,20827,Iced Mocha - Cold Coffee
465,20826,Bon Bon - Cold Coffee
466,20826,Madagascar Chocochip Frappe - Cold Coffee
467,20825,Hot Chocolate - Hot Chocolate
468,20825,Vietnamese - Cold Coffee
469,20825,ALMOND MILK - Milk
470,20824,Americano - Hot Coffee
471,20824,Americano - Hot Coffee
472,20823,Madagascar Hot Chocolate - Hot Chocolate
473,20823,Cafe Mocha - Hot Coffee
474,20823,Bon Bon - Cold Coffee
475,20822,Cafe Mocha - Hot Coffee
476,20821,Flat White 250 Ml - Hot Coffee
477,20820,Classic Frappe - Cold Coffee
478,20820,Iced Latte - Cold Coffee
479,20819,Cappucino - Hot Coffee
480,20819,Strawberry White Chocolate Ganache - SEASONAL MENU
481,20819,Rosella Jam - SEASONAL MENU
482,20818,Cappucino - Hot Coffee
483,20818,Origanal South Indian Frappe - Cold Coffee
484,20818,Origanal South Indian Frappe - Cold Coffee
485,20818,Origanal South Indian Frappe - Cold Coffee
486,20818,Cappucino - Hot Coffee
487,20818,Vanilla Praline - Cold Coffee
488,20817,Yellow Banana Chips - Food Menu
489,20817,Madagascar Chocochip Frappe - Cold Coffee
490,20816,Choco-crinkle-cookies - Sweet
491,20815,Papparoti - Sweet
492,20814,Almond Frappe - Cold Coffee
493,20814,Kaapicino - Hot Coffee
494,20813,Classic Frappe - Cold Coffee
495,20812,Almond Frappe - Cold Coffee
496,20812,Madagascar Hot Chocolate - Hot Chocolate
497,20811,Coconut Nankhatai - Sweet
498,20810,South Indian Filter Kaapi - Hot Coffee
499,20810,Papparoti - Sweet
500,20810,Strawberry White Chocolate Ganache - SEASONAL MENU
501,20809,Madagascar Chocochip Frappe - Cold Coffee
502,20809,Cappucino - Hot Coffee
503,20808,Iced Americano - Cold Coffee
504,20808,Madagascar Chocochip Frappe - Cold Coffee
505,20807,Iced Americano - Cold Coffee
506,20807,Baked Vada Pav - Food Menu
507,20806,South Indian Filter Kaapi - Hot Coffee
508,20805,Iced Americano - Cold Coffee
509,20805,Add On Syrup - Extra Toppings
510,20805,Origanal South Indian Frappe - Cold Coffee
511,20805,Baked Vada Pav - Food Menu
512,20804,South Indian Filter Kaapi - Hot Coffee
513,20803,Classic Frappe - Cold Coffee
514,C2291,Hazelnut Frappe - Cold Coffee
515,20802,Berliners - Food Menu
516,20802,Choco-crinkle-cookies - Sweet
517,20801,Mix Berliner - Food Menu
518,20801,Classic Frappe - Cold Coffee
519,20801,Nariyal Irish Cream Frappe - Cold Coffee
520,20801,Hyderabadi Chicken Keema Pav - Food Menu
521,20800,Baked Vada Pav - Food Menu
522,20800,Hazelnut Frappe - Cold Coffee
523,20800,Vanilla Praline - Cold Coffee
524,20800,Mix Berliner - Food Menu
525,20800,Mix Berliner - Food Menu
526,20800,Iced Americano - Cold Coffee
527,20799,Caramel Frappe - Cold Coffee
528,20799,Iced Americano - Cold Coffee
529,20799,Baked Vada Pav - Food Menu
530,20799,Hyderabadi Chicken Keema Pav - Food Menu
531,20798,Cappucino - Hot Coffee
532,20797,Cappucino - Hot Coffee
533,20796,Hot Chocolate - Hot Chocolate
534,C2290,Cappucino - Hot Coffee
535,C2290,Add On Syrup - Extra Toppings
536,C2290,Papparoti - Sweet
537,20795,South Indian Filter Kaapi - Hot Coffee
538,20795,Americano - Hot Coffee
539,20795,Irish Americano - Hot Coffee
540,20794,Hazelnut Frappe - Cold Coffee
541,20793,Classic Frappe - Cold Coffee
542,20793,Hot Chocolate - Hot Chocolate
543,20793,Mix Berliner - Food Menu
544,20793,Mix Berliner - Food Menu
545,20793,Sea Salt Dark Mocha Frappe - Cold Coffee
546,20793,OAT MILK - Milk
547,20793,Spicy Banana Chips - Food Menu
548,20792,Vietnamese - Cold Coffee
549,20792,Madagascar Chocochip Frappe - Cold Coffee
550,20792,Berliner Mix - Food Menu
551,20791,Origanal South Indian Frappe - Cold Coffee
552,20791,Almond Frappe - Cold Coffee
553,20791,Americano - Hot Coffee
554,20791,Chicken Calzone - Food Menu
555,20790,Kaapicino - Hot Coffee
556,20789,Cappucino - Hot Coffee
557,C2289,Strawberry White Chocolate Ganache - SEASONAL MENU
558,C2289,Rosella Jam - SEASONAL MENU
559,20788,Papparoti - Sweet
560,20788,Rosella Jam - SEASONAL MENU
561,20788,Yellow Banana Chips - Food Menu
562,20788,Calzones Veg - Food Menu
563,20787,Kaapicino - Hot Coffee
564,20786,Kaapicino - Hot Coffee
565,20785,Cold Brew - Manual Brew
